公历日期,十二值日,十二值神,黄道吉日,宜,忌
2031-08-17,破,白虎,否,祭祀、捕捉、畋猎、纳畜、牧养、入殓、除服、成服、移柩、破土、安葬、启钻,嫁娶、纳采、订盟、开市、入宅
2031-08-18,破,白虎,否,破屋、坏垣、治病、馀事勿取,行丧、安葬
2031-08-19,危,玉堂,是,祈福、斋醮、出行、冠笄、嫁娶、雕刻、开柱眼、入宅、造桥、开市、交易、立券、纳财、入殓、除服、成服、移柩、破土、安葬、启钻,动土、订盟、安床、开池
2031-08-20,成,天牢,是,祈福、求嗣、解除、订盟、纳采、动土、起基、放水、造仓、开市、纳畜、牧养、开生坟、入殓、除服、成服、移柩、破土、安葬,无
2031-08-21,收,玄武,否,塑绘、开光、解除、订盟、纳采、嫁娶、出火、修造、动土、移徙、入宅、拆卸、起基、安门、分居、开市、交易、立券、纳财、纳畜、牧养,无
2031-08-22,开,司命,是,祈福、出行、订盟、纳采、嫁娶、裁衣、动土、安床、放水、开市、掘井、交易、立券、栽种、开渠、除服、成服、移柩、破土,无
2031-08-23,闭,勾陈,否,嫁娶、祭祀、祈福、斋醮、作灶、移徙、入宅,动土、破土
2031-08-24,建,青龙,否,嫁娶、出行、纳畜、祭祀、入殓、启钻、安葬,作灶、动土、破土
2031-08-25,除,明堂,是,订盟、纳采、祭祀、祈福、修造、动土、上梁、破土、安葬,嫁娶、开市
2031-08-26,满,天刑,否,订盟、纳采、出行、会亲友、修造、上梁、移徙、入宅,开市、安葬
2031-08-27,平,朱雀,否,沐浴、修饰垣墙、平治道涂、馀事勿取,嫁娶、祈福
2031-08-28,定,金匮,是,嫁娶、祭祀、祈福、斋醮、动土、移徙、入宅,开市、安葬
2031-08-29,执,天德,是,捕捉、结网、入殓、破土、安葬,嫁娶、入宅
2031-08-30,破,白虎,否,沐浴、治病、破屋、坏垣、馀事勿取,诸事不宜
2031-08-31,危,玉堂,是,嫁娶、订盟、纳采、出行、开市、祭祀、祈福、移徙、入宅、启钻、安葬,动土、破土
2031-09-01,成,天牢,是,嫁娶、订盟、纳采、祭祀、祈福、求医、治病、动土、移徙、入宅、破土、安葬,开光、针灸
2031-09-02,收,玄武,否,订盟、纳采、祭祀、祈福、安机械、作灶、纳畜,动土、安葬
2031-09-03,开,司命,是,嫁娶、祭祀、祈福、求嗣、出行、动土、安床、掘井、破土、启钻,入宅、作梁、安门、伐木、修造、上梁、入殓、盖屋
2031-09-04,闭,勾陈,否,嫁娶、祭祀、祈福、求嗣、出行、出火、拆卸、修造、移徙、动土、安床、入殓、破土、安葬、启钻,盖屋、开光、理发、造船、掘井、作灶
2031-09-05,建,青龙,否,祭祀、祈福、求嗣、开光、出行、解除、上梁、盖屋、移徙、安门、纳财、牧养、纳畜、安葬、启钻、入殓,破土、置产、掘井、动土、安床
2031-09-06,除,明堂,是,祭祀、解除、沐浴、理发、整手足甲、入殓、移柩、破土、安葬、扫舍,嫁娶、会亲友、进人口、出行、入宅、移徙、赴任、作灶
2031-09-07,满,天刑,否,塑绘、开光、进人口、纳畜、补垣、塞穴、栽种、牧养,嫁娶、纳财、祈福、安葬、修造、开市、交易、立券、动土、上梁
2031-09-08,平,朱雀,否,出行、开市、交易、立券、安机械、出火、上梁、移徙,嫁娶、安葬、动土、造桥
2031-09-09,定,金匮,是,祭祀、沐浴、修饰垣墙、平治道涂、馀事勿取,斋醮、嫁娶、移徙、出行、上梁、入宅
2031-09-10,执,天德,是,嫁娶、造车器、安机械、祭祀、祈福、开光、安香、出火、出行、开市、立券、修造、动土、移徙、入宅、破土、安葬,纳采、订盟、架马、词讼、开渠
2031-09-11,破,白虎,否,沐浴、捕捉、入殓、除服、成服、破土、启钻、安葬,祭祀、嫁娶、安床、开市、入宅、探病、上梁
2031-09-12,危,玉堂,是,馀事勿取,探病
2031-09-13,成,天牢,是,订盟、纳采、祭祀、祈福、安香、出火、修造、动土、上梁、安门、起基、竖柱、定磉、开池、移徙、入宅、立券、破土,嫁娶、造庙、造桥、造船、作灶、安葬
2031-09-14,收,玄武,否,开光、求嗣、雕刻、嫁娶、订盟、纳采、出火、拆卸、修造、动土、起基、上梁、放水、移徙、入宅、造仓、造船、开市、开池、纳畜、牧养、挂匾,行丧、安葬、合寿木
2031-09-15,开,司命,是,祭祀、嫁娶、捕捉,开光、动土、破土、开市、修造、入宅、安门
2031-09-16,闭,勾陈,否,祭祀、普渡、解除、会亲友、捕捉、畋猎、启钻、除服、成服、移柩,嫁娶、开市、动土、掘井、开池、安葬
2031-09-17,闭,勾陈,否,出行、解除、冠笄、嫁娶、伐木、架马、开柱眼、修造、动土、移徙、入宅、开生坟、合寿木、入殓、移柩、破土、安葬、修坟,祭祀、祈福、开光、开市、安床
2031-09-18,建,青龙,否,祭祀、祈福、求嗣、出行、沐浴、交易、扫舍、教牛马,动土、作灶、行丧、安葬、修坟
2031-09-19,除,明堂,是,出行、解除、纳采、冠笄、雕刻、修造、动土、起基、上梁、合脊、安床、移徙、入宅、开市、栽种、开厕,造庙、安门、行丧、安葬
2031-09-20,满,天刑,否,开光、塑绘、出行、解除、冠笄、裁衣、挂匾、作灶、开市、开池、开厕、补垣、塞穴,无
2031-09-21,平,朱雀,否,祭祀、祈福、修饰垣墙、平治道涂、入殓、移柩,嫁娶、入宅、上梁、安门
2031-09-22,定,金匮,是,祭祀、会亲友、纳采、嫁娶、开光、塑绘、斋醮、安香、开市、立券、除服、成服、入殓、移柩、安葬、赴任、进人口、出行、裁衣、修造、动土、上梁、经络、交易,入宅、伐木
2031-09-23,执,天德,是,祭祀、冠笄、会亲友、拆卸、起基、除服、成服、移柩、启钻、安葬、沐浴、捕捉、开光、塑绘,作灶、入宅、嫁娶
2031-09-24,破,白虎,否,祭祀、沐浴、破屋、坏垣、馀事勿取,移徙、入宅、出行、栽种
2031-09-25,危,玉堂,是,祭祀、塑绘、开光、出行、解除、订盟、嫁娶、拆卸、起基、安床、入宅、开市、入殓、除服、成服、移柩、破土、谢土、挂匾、开柱眼、交易,造桥、冠笄、盖屋、掘井
2031-09-26,成,天牢,是,祭祀、会亲友、进人口、动土、上梁、开光、塑绘、冠笄、拆卸、起基、安床、开市、立券、赴任、经络,定磉、安葬
2031-09-27,收,玄武,否,祭祀、裁衣、冠笄、嫁娶、纳婿、会亲友、除服、成服、移柩、捕捉、进人口、入殓,移徙、入宅、作灶
2031-09-28,开,司命,是,诸事不宜,入殓、安葬、开市、交易
2031-09-29,闭,勾陈,否,祭祀、裁衣、冠笄、嫁娶、安机械、拆卸、动土、起基、移徙、入宅、入殓、启钻、安葬、造仓、经络,安床、开光、开市、交易
2031-09-30,建,青龙,否,祭祀、出行、成服、除服、沐浴、入殓,动土、冠笄、移徙、入宅、开市、竖柱、上梁
2031-10-01,除,明堂,是,祭祀、沐浴、赴任、出行、馀事勿取,诸事不宜
2031-10-02,满,天刑,否,诸事不宜,无
2031-10-03,平,朱雀,否,沐浴、入殓、移柩、除服、成服、破土、平治道涂,嫁娶、移徙、入宅、开市
2031-10-04,定,金匮,是,嫁娶、祭祀、祈福、求嗣、沐浴、出火、出行、拆卸、修造、动土、进人口、开市、交易、立券、入宅、移徙、安床、栽种、纳畜、入殓、安葬、启钻、除服、成服,无
2031-10-05,执,天德,是,开光、解除、起基、动土、拆卸、上梁、立碑、修坟、安葬、破土、启钻、移柩,嫁娶、出行、安床、作灶、祭祀、入宅、移徙、出火、进人口、置产
2031-10-06,破,白虎,否,破屋、坏垣、馀事勿取,诸事不宜
2031-10-07,危,玉堂,是,嫁娶、祈福、求嗣、出行、出火、拆卸、修造、动土、上梁、开光、进人口、开市、交易、立券、挂匾、安床、入宅、移徙、栽种、伐木、入殓、破土、除服、成服,无
2031-10-08,成,天牢,是,订盟、纳采、会亲友、交易、立券、纳财、栽种、纳畜、牧养,嫁娶、开市、入宅、祈福、安葬
2031-10-09,收,玄武,否,造车器、嫁娶、订盟、纳采、会亲友、祭祀、出行、开市、立券、移徙、入宅、破土、安葬,上梁、开光、盖屋、架马、合寿木
2031-10-10,开,司命,是,祭祀、作灶、纳财、捕捉、畋猎、馀事勿取,动土、破土、开市、安葬
2031-10-11,闭,勾陈,否,嫁娶、订盟、纳采、祭祀、祈福、出行、求医、治病、出火、移徙、入宅,开市、开仓、出货财、安床、安门、安葬
2031-10-12,建,青龙,否,冠笄、祭祀、沐浴、作灶、理发、整手足甲、扫舍、补垣、塞穴、入殓、破土、启钻,开光、嫁娶、会亲友、栽种、针灸、安葬
2031-10-13,除,明堂,是,纳采、订盟、嫁娶、祭祀、祈福、求嗣、置产、求医、治病、开市、交易、立券、会亲友、移徙、竖柱、上梁、盖屋、合脊、安门、放水、捕捉、纳畜,造庙、造船、动土、破土、安葬
2031-10-14,满,天刑,否,出行、造车器、造畜稠、解除、冠笄、裁衣、作梁、雕刻、会亲友、移徙、入宅、安机械、开市、扫舍,嫁娶、动土、破土、修坟
2031-10-15,平,朱雀,否,沐浴、理发、冠笄、安床、开市、立券、会亲友、交易、纳财、结网、教牛马,移徙、入宅、出行、祈福、嫁娶
2031-10-16,平,朱雀,否,祭祀、造畜稠、修饰垣墙、平治道涂、馀事勿取,嫁娶、开市、安床、掘井
2031-10-17,定,金匮,是,捕捉、结网、入殓、除服、成服、移柩、破土、安葬、启钻、立碑,嫁娶、祭祀、入宅、盖屋、移徙
2031-10-18,执,天德,是,祭祀、祈福、求嗣、斋醮、造庙、出火、安机械、会亲友、开市、交易、立券、纳财、习艺、经络、求医、治病、开池、开厕、畋猎、结网、栽种、牧养、安葬、破土、启钻,开光、嫁娶、掘井、伐木、作梁
2031-10-19,破,白虎,否,破屋、坏垣、馀事勿取,诸事不宜
2031-10-20,危,玉堂,是,会亲友、嫁娶、订盟、纳采、纳婿、拆卸、修造、动土、起基、竖柱、上梁、安床、纳财,出行、祈福、安葬、作灶
2031-10-21,成,天牢,是,祭祀、塑绘、开光、祈福、斋醮、出行、订盟、纳采、裁衣、嫁娶、拆卸、修造、安床、入宅、安香、入殓、启钻、安葬、谢土、赴任、会亲友、进人口、移徙、上梁、经络、开市、交易、立券、纳财,开仓、冠笄、伐木、作梁
2031-10-22,收,玄武,否,祭祀、作灶、入殓、除服、成服、畋猎,栽种、动土、安葬、开市
2031-10-23,开,司命,是,祭祀、祈福、斋醮、沐浴、竖柱、订盟、纳采、嫁娶、拆卸、入宅、移柩、启钻、谢土、赴任、出火、纳畜,作灶、入殓、安葬、安床
2031-10-24,闭,勾陈,否,嫁娶、祭祀、安机械、入殓、破土、安葬,动土、上梁
2031-10-25,建,青龙,否,作灶、造畜稠,行丧、安葬
2031-10-26,除,明堂,是,沐浴、理发、入学、习艺、进人口,嫁娶、入宅
2031-10-27,满,天刑,否,开光、针灸、会亲友、启钻、安葬,开市、动土、破土
2031-10-28,平,朱雀,否,祭祀、结网、造畜稠、馀事勿取,无
2031-10-29,定,金匮,是,入殓、除服、成服、移柩、破土、启钻、安葬,移徙、入宅
2031-10-30,执,天德,是,嫁娶、订盟、纳采、出行、祭祀、祈福、动土、移徙、入宅、破土、安葬,开市、赴任
2031-10-31,破,白虎,否,祭祀、解除、破屋、坏垣、馀事勿取,无
2031-11-01,危,玉堂,是,订盟、纳采、会亲友、安机械、纳财、牧养,祈福、安葬
2031-11-02,成,天牢,是,嫁娶、订盟、纳采、出行、开市、祭祀、祈福、动土、移徙、入宅、破土、安葬,斋醮、安门
2031-11-03,收,玄武,否,祭祀、塞穴、馀事勿取,诸事不宜
2031-11-04,开,司命,是,祭祀、祈福、求嗣、开光、开市、出行、解除、动土、起基、置产、栽种,嫁娶、作灶、修坟、安门、入宅、立碑、安葬、安床
2031-11-05,闭,勾陈,否,祭祀、解除、裁衣、理发、安床、作灶、造畜稠、放水、筑堤、补垣、塞穴、整手足甲、扫舍,嫁娶、开光、会亲友、掘井、安门、栽种
2031-11-06,建,青龙,否,祭祀、出行、裁衣、冠笄、会亲友、造畜稠、嫁娶、竖柱、上梁、移徙、纳财、纳畜,动土、伐木、作梁、行丧、安葬、开生坟
2031-11-07,除,明堂,是,祭祀、沐浴、出行、馀事勿取,开市、动土、破土、行丧、安葬
2031-11-08,满,天刑,否,嫁娶、造车器、出行、会亲友、移徙、入宅、修造、动土、雕刻、开光、安香、出火、理发、盖屋、合脊、起基、归岫、安门、拆卸、扫舍、栽种、造畜稠,开市、纳采、造庙、安床、开渠、安葬
2031-11-09,平,朱雀,否,塑绘、会亲友、安机械、塞穴、结网、裁衣、经络,嫁娶、开市、祈福、斋醮、安葬
2031-11-10,定,金匮,是,纳采、移徙、纳财、开市、交易、立券、入宅、修造、动土、竖柱、起基、定磉、造庙、安香、出火、修饰垣墙、平治道涂、会亲友、出行、开池、开厕,开仓、盖屋、造桥、祭祀
2031-11-11,执,天德,是,订盟、纳采、纳财、开市、立券、祭祀、祈福、移徙、入宅、出行、盖屋、起基、修造、动土、竖柱、上梁、安门、安香、出火、教牛马、会亲友、破土,嫁娶、安葬、掘井、置产、造船
2031-11-12,破,白虎,否,嫁娶、订盟、纳采、祭祀、祈福、塑绘、开光、移徙、安床、伐木、作梁、捕捉、畋猎、结网、求医、治病、解除、安葬、除服、成服、移柩、入殓、立碑、谢土,开市、造庙、动土、破土
2031-11-13,危,玉堂,是,破屋、坏垣、祭祀、馀事勿取,嫁娶、安葬
2031-11-14,成,天牢,是,嫁娶、纳采、订盟、祭祀、冠笄、裁衣、伐木、作梁、架马、定磉、开柱眼、作灶、移徙、安床、畋猎、结网、开池、开厕、除服、成服、启钻、入殓、移柩、安葬,盖屋、造船、动土、破土
2031-11-15,成,天牢,是,纳采、订盟、祭祀、祈福、求嗣、斋醮、开光、会亲友、解除、入学、纳财、交易、立券、经络、起基、动土、定磉、开池、栽种、纳畜、牧养、破土、入殓、立碑、安葬,嫁娶、开市、入宅、出火、移徙
2031-11-16,收,玄武,否,捕捉、畋猎、会亲友、解除、入殓、除服、成服、移柩、馀事勿取,安床、安门、破土、修坟、安葬
2031-11-17,开,司命,是,祭祀、祈福、求嗣、斋醮、沐浴、冠笄、出行、理发、拆卸、解除、起基、动土、定磉、安碓磑、开池、掘井、扫舍、除服、成服、移柩、启钻、立碑、谢土,移徙、入宅、安门、作梁、安葬
2031-11-18,闭,勾陈,否,嫁娶、冠笄、安床、纳采、会亲友、塞穴、捕捉、置产、造畜稠,开光、掘井、安葬、谢土、修坟
2031-11-19,建,青龙,否,祭祀、沐浴、馀事勿取,诸事不宜
2031-11-20,除,明堂,是,祭祀、会亲友、嫁娶、沐浴、修造、动土、祈福、开光、塑绘、出行、订盟、纳采、裁衣、入殓、除服、成服、移柩、启钻、赴任、竖柱、上梁、纳财、扫舍、栽种、纳畜、伐木,入宅、作灶、安床、开仓
2031-11-21,满,天刑,否,理发、会亲友、补垣、塞穴、结网,嫁娶、入宅、安门、移徙
2031-11-22,平,朱雀,否,祭祀、祈福、订盟、纳采、裁衣、拆卸、修造、动土、起基、安床、移徙、入宅、安香、除服、成服、入殓、移柩、安葬、谢土、赴任、会亲友、进人口、出行、竖柱、上梁、经络、开市、交易、立券、纳财、开仓,作灶、治病、伐木、作梁
2031-11-23,定,金匮,是,祭祀、祈福、订盟、纳采、裁衣、拆卸、修造、动土、起基、安床、移徙、入宅、安香、入殓、移柩、安葬、谢土、赴任、进人口、会亲友,作灶、治病
2031-11-24,执,天德,是,祭祀、塑绘、开光、订盟、纳采、嫁娶、安床、进人口、入殓、除服、成服、移柩、启钻、安葬、立碑,开市、交易、破土、作灶
2031-11-25,破,白虎,否,祭祀、解除、破屋、坏垣、馀事勿取,诸事不宜
2031-11-26,危,玉堂,是,祭祀、解除、祈福、开光、塑绘、斋醮、订盟、纳采、裁衣、冠笄、拆卸、修造、动土、入殓、除服、成服、移柩、启钻、安床、赴任、出行、移徙、竖柱、上梁、伐木、栽种、破土、安葬、纳畜,盖屋、治病
2031-11-27,成,天牢,是,祭祀、祈福、订盟、纳采、裁衣、合帐、冠笄、安机械、安床、造畜稠、入殓、移柩、启钻、安葬、谢土、除服、成服、会亲友、竖柱、上梁、经络、开市、交易、立券、纳财、纳畜、筑堤,嫁娶、入宅、治病、赴任
2031-11-28,收,玄武,否,沐浴、扫舍、馀事勿取,诸事不宜
2031-11-29,开,司命,是,诸事不宜,无
2031-11-30,闭,勾陈,否,祈福、斋醮、出行、订盟、纳采、入殓、移柩、破土、安葬、立碑、结网,入宅、作灶
2031-12-01,建,青龙,否,祭祀、沐浴、出行、冠笄、进人口、馀事勿取,嫁娶、动土、安葬、作灶
2031-12-02,除,明堂,是,祭祀、祈福、斋醮、塑绘、开光、订盟、纳采、裁衣、冠笄、嫁娶、拆卸、入宅、安香、入殓、移柩、理发、安葬、修坟、谢土、赴任、移徙、沐浴、治病、破土、启钻、整手足甲、入学、作梁,开市
2031-12-03,满,天刑,否,诸事不宜,无
2031-12-04,平,朱雀,否,开市、交易、立券、挂匾、纳财、开光、出行、入宅、移徙、安床、纳畜、入殓、移柩、安葬,栽种、破土、置产、祭祀、嫁娶、动土、作灶、祈福
2031-12-05,定,金匮,是,嫁娶、祭祀、祈福、求嗣、开光、出行、解除、出火、拆卸、进人口、入宅、移徙、安床、栽种、动土、修造、纳畜、入殓、安葬、立碑、除服、成服,无
2031-12-06,执,天德,是,开光、解除、拆卸、修造、动土、安床、纳畜、安葬、启钻、入殓,嫁娶、开市、出火、栽种、破土、入宅、移徙、安香、分居、掘井、作灶
2031-12-07,破,白虎,否,嫁娶、订盟、纳采、祭祀、祈福、求嗣、斋醮、安香、出火、修造、起基、盖屋、合脊、安门、安碓磑、动土、上梁、移徙、入宅,出行、掘井、破土、行丧、安葬
2031-12-08,危,玉堂,是,祭祀、沐浴、破屋、坏垣、馀事勿取,嫁娶、移徙、入宅、探病、出行、盖屋
2031-12-09,成,天牢,是,冠笄、纳财、掘井、开池、出火、安床、交易、立券、畋猎、结网、理发、放水,安门、动土、破土、行丧、安葬、成服
2031-12-10,收,玄武,否,纳采、订盟、移徙、入宅、出行、安机械、会亲友、祭祀、祈福、斋醮、开光、安香、出火、解除、求医、针灸、治病、盖屋、起基、修造、安门、造船、纳畜、牧养、移柩、入殓、启钻、谢土、修坟、立碑,嫁娶、动土、安床、造桥、掘井
2031-12-11,开,司命,是,祭祀、沐浴、作灶、纳财、捕捉、畋猎、安床、扫舍,开市、斋醮、破土、安葬
2031-12-12,闭,勾陈,否,祈福、斋醮、纳采、订盟、解除、架马、开柱眼、修造、动土、起基、上梁、归岫、盖屋、合脊、掘井、除服、成服、破土、栽种,移徙、开市、入宅、安葬
2031-12-13,建,青龙,否,纳采、订盟、祭祀、沐浴、冠笄、合帐、裁衣、修造、动土、拆卸、移徙、入宅、安门、开仓、筑堤、开厕、栽种、纳畜、补垣、塞穴,嫁娶、祈福、开光、掘井、安葬、行丧
2031-12-14,建,青龙,否,合帐、裁衣、教牛马、馀事勿取,入宅、动土、破土、嫁娶、作灶、造船
2031-12-15,除,明堂,是,纳采、订盟、嫁娶、祭祀、祈福、安香、出火、出行、会亲友、经络、求医、治病、解除、拆卸、起基、修造、动土、定磉、扫舍、栽种、牧养、造畜稠,斋醮、作梁、掘井、行丧、安葬
2031-12-16,满,天刑,否,纳财、开市、交易、立券、会亲友、进人口、经络、祭祀、祈福、安香、出火、求医、治病、修造、动土、拆卸、扫舍、安床、栽种、牧养、开生坟、合寿木、入殓、安葬、启钻,嫁娶、移徙、入宅
2031-12-17,平,朱雀,否,祭祀、入殓、移柩、馀事勿取,入宅、修造、动土、破土、安门、上梁
2031-12-18,定,金匮,是,塑绘、开光、订盟、纳采、裁衣、冠笄、拆卸、修造、安床、入宅、出火、安葬、谢土、赴任,掘井、伐木、斋醮、作灶
2031-12-19,执,天德,是,祭祀、塑绘、开光、裁衣、冠笄、嫁娶、纳采、拆卸、修造、动土、竖柱、上梁、安床、移徙、入宅、安香、结网、捕捉、畋猎、伐木、进人口、放水,出行、安葬、修坟、开市
2031-12-20,破,白虎,否,祭祀、求医、破屋、坏垣、馀事勿取,诸事不宜
2031-12-21,危,玉堂,是,祭祀、祈福、斋醮、出行、冠笄、安机械、移徙、入宅、安香、安床、除服、成服、移柩、启钻,开光、栽种、治病、安门、作灶
2031-12-22,成,天牢,是,塑绘、斋醮、出行、拆卸、解除、修造、移徙、造船、入殓、除服、成服、移柩、启钻、修坟、立碑、谢土,无
2031-12-23,收,玄武,否,祭祀、沐浴、安床、纳财、畋猎、捕捉,开市、破土
2031-12-24,开,司命,是,订盟、纳采、祭祀、祈福、修造、动土、上梁、破土,嫁娶、作灶
2031-12-25,闭,勾陈,否,出行、沐浴、理发、补垣、塞穴,入宅、安葬
2031-12-26,建,青龙,否,教牛马、馀事勿取,入宅、动土、破土
2031-12-27,除,明堂,是,嫁娶、出行、求医、治病、祭祀、祈福、上梁、纳畜,开市、安葬
2031-12-28,满,天刑,否,开市、立券、开光、解除、安机械、上梁、启钻、安葬,嫁娶、祈福
2031-12-29,平,朱雀,否,平治道涂、馀事勿取,诸事不宜
2031-12-30,定,金匮,是,求嗣、斋醮、塑绘、订盟、纳采、出火、拆卸、修造、动土、造桥、安机械、栽种、纳畜、牧养、入殓、除服、成服、移柩、破土、安葬,开市、嫁娶
2031-12-31,执,天德,是,嫁娶、订盟、纳采、祭祀、祈福、修造、动土、移徙、入宅,开市、安葬
2032-01-01,破,白虎,否,治病、破屋、坏垣、馀事勿取,诸事不宜
2032-01-02,危,玉堂,是,祭祀、祈福、求嗣、斋醮、开光、入学、订盟、冠笄、伐木、修造、动土、起基、放水、交易、开池,造桥、安门、理发、造庙、栽种、作灶
2032-01-03,成,天牢,是,解除、坏垣、馀事勿取,诸事不宜
2032-01-04,收,玄武,否,沐浴、理发、扫舍,伐木、纳畜、上梁、入宅、作灶、造畜稠、嫁娶、安葬、作梁、造船、安门
2032-01-05,开,司命,是,祭祀、开光、祈福、解除、作梁、动土、安床、掘井、栽种、纳畜、破土、移柩,嫁娶、出行、赴任、盖屋、入殓、入宅、移徙、出火、进人口、安葬
2032-01-06,闭,勾陈,否,订盟、纳采、会亲友、祭祀、斋醮、沐浴、塑绘、出火、开光、竖柱、上梁、开市、交易、立券、作梁、开柱眼、伐木、架马、安门、安床、拆卸、牧养、造畜稠、掘井,造庙、嫁娶、出行、动土、安葬、行丧
2032-01-07,建,青龙,否,交易、立券、纳财、安床、裁衣、造畜稠、安葬、谢土、启钻、除服、成服、修坟、立碑、移柩、入殓,开光、嫁娶、开市、动土、破土
2032-01-08,除,明堂,是,祭祀、解除、教牛马、会亲友、馀事勿取,破土、动土、安葬
2032-01-09,满,天刑,否,纳采、订盟、移徙、纳财、开市、交易、立券、入宅、会亲友、解除、求医、治病、入学、安床、安门、安香、出火、拆卸、扫舍、挂匾、开生坟、合寿木、破土、修坟、启钻、入殓,探病、祭祀、出行、上梁、盖屋、谢土、安葬
2032-01-10,平,朱雀,否,嫁娶、订盟、纳采、祭祀、祈福、求嗣、会亲友、解除、出行、入学、纳财、开市、交易、立券、习艺、经络、安床、开仓、出货财、纳畜、安葬、启钻、修坟、入殓,入宅、开光、动土
2032-01-11,定,金匮,是,祭祀、冠笄、嫁娶、会亲友、进人口、裁衣、结网、平治道涂,移徙、入宅、造庙、作灶、治病、安葬
2032-01-12,执,天德,是,祭祀、安碓磑、结网、馀事勿取,嫁娶、安葬
2032-01-13,执,天德,是,嫁娶、祭祀、沐浴、裁衣、出行、理发、移徙、捕捉、畋猎、放水、入宅、除服、成服、启钻、安葬、移柩、入殓,盖屋、开市、动土、破土
2032-01-14,破,白虎,否,破屋、坏垣、馀事勿取,嫁娶、开市、安葬
2032-01-15,危,玉堂,是,纳采、订盟、祭祀、求嗣、出火、塑绘、裁衣、会亲友、入学、拆卸、扫舍、造仓、挂匾、掘井、开池、结网、栽种、纳畜、破土、修坟、立碑、安葬、入殓,祈福、嫁娶、造庙、安床、谢土
2032-01-16,成,天牢,是,入殓、除服、成服、移柩、启钻、安葬、修坟、立碑,开市、伐木、嫁娶、作梁
2032-01-17,收,玄武,否,祭祀、作灶、入殓、除服、馀事勿取,开市、安床
2032-01-18,开,司命,是,塑绘、开光、沐浴、冠笄、会亲友、作灶、放水、造畜稠,嫁娶、入殓、安葬、出行
2032-01-19,闭,勾陈,否,祭祀、沐浴、祈福、斋醮、订盟、纳采、裁衣、拆卸、起基、竖柱、上梁、安床、入殓、除服、成服、移柩、启钻、挂匾、求嗣、出行、合帐、造畜稠,开仓、嫁娶、移徙、入宅
2032-01-20,建,青龙,否,祭祀、解除、馀事勿取,诸事不宜
2032-01-21,除,明堂,是,沐浴、解除、订盟、纳采、裁衣、冠笄、拆卸、修造、动土、移徙、入宅、除服、成服、移柩、破土、启钻、安葬、扫舍、修坟、伐木、纳财、交易、立券,作灶、祭祀、上梁、出行
2032-01-22,满,天刑,否,出行、嫁娶、订盟、纳采、入殓、安床、启钻、安葬、祭祀、裁衣、会亲友、进人口,无
2032-01-23,平,朱雀,否,修饰垣墙、平治道涂、入殓、移柩、馀事勿取,嫁娶、移徙、入宅、开光
2032-01-24,定,金匮,是,会亲友、纳采、进人口、修造、动土、竖柱、上梁、祭祀、开光、塑绘、祈福、斋醮、嫁娶、安床、移徙、入宅、安香、纳畜,出行、治病、安葬、开市
2032-01-25,执,天德,是,祭祀、会亲友、出行、订盟、纳采、沐浴、修造、动土、祈福、斋醮、嫁娶、拆卸、安床、入殓、移柩、安葬、谢土、赴任、裁衣、竖柱、上梁、伐木、捕捉、栽种、破土、安门,盖屋、开市、作灶、入宅
2032-01-26,破,白虎,否,解除、破屋、坏垣、馀事勿取,诸事不宜
2032-01-27,危,玉堂,是,塑绘、开光、出行、订盟、纳采、除服、成服、嫁娶、纳婿、入殓、移柩、启钻、安葬、立碑,入宅、安床
2032-01-28,成,天牢,是,入殓、除服、成服、移柩、启钻、安葬、立碑、馀事勿取,破土、伐木
2032-01-29,收,玄武,否,祭祀、祈福、斋醮、塑绘、开光、除服、成服、入殓、作灶、嫁娶、捕捉、畋猎、纳财,开仓、盖屋、安葬、安床
2032-01-30,开,司命,是,祭祀、出行、沐浴、裁衣、祈福、斋醮、订盟、纳采、嫁娶、安机械、开市、立券、安碓磑、纳畜,栽种、入殓、安葬
2032-01-31,闭,勾陈,否,祭祀、祈福、斋醮、沐浴、安床、安机械、造车器、入殓、移柩、启钻、安葬、立碑、合帐、经络、交易,作灶、掘井、嫁娶、入宅
2032-02-01,建,青龙,否,解除、扫舍、祭祀、教牛马、馀事勿取,无
2032-02-02,除,明堂,是,开市、交易、立券、挂匾、开光、解除、伐木、作梁、出火、入宅、移徙、安床、拆卸、动土、上梁、栽种、纳畜、安葬,嫁娶、祭祀、出行、置产
2032-02-03,满,天刑,否,开市、交易、立券、纳财、开池、补垣、嫁娶、纳采、纳畜、取渔、安床,修造、上梁、入宅、祈福、探病、掘井、动土、安门、安葬、作灶
2032-02-04,平,朱雀,否,会亲友、求嗣、理发、冠笄、结网、捕捉、开光,开市、动土、安葬、破土
2032-02-05,定,金匮,是,祭祀、平治道涂、馀事勿取,嫁娶、祈福、掘井、安葬
2032-02-06,执,天德,是,祈福、求嗣、斋醮、纳采、嫁娶、伐木、修造、动土、移徙、入宅、造庙、安机械、开市、入殓、除服、成服、移柩、安葬、破土、谢土,置产、盖屋、合脊、开光、探病、安门、作灶
2032-02-07,破,白虎,否,入学、习艺、出行、纳采、订盟、嫁娶、会亲友、进人口、牧养、捕捉、入殓、移柩、安葬、启钻,开光、开市、入宅、动土、盖屋
2032-02-08,危,玉堂,是,祭祀、沐浴、求医、治病、扫舍、破屋、坏垣、解除、馀事勿取,入宅、开市、安葬
